file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000386.spc,272.225,104.884,3370.096,35.5358,0.0000,29.3918,-5.9300
spect_000387.spc,166.617,76.275,2851.860,20.7349,0.0000,25.0846,-3.8571
spect_000388.spc,20.256,172.254,1862.725,0.0000,3.4450,16.5561,0.3142
spect_000389.spc,128.805,81.723,3691.419,14.1170,0.0000,32.7589,-0.4669
spect_000390.spc,244.292,342.627,119.367,34.4297,7.2208,0.0000,0.3786
spect_000391.spc,26.374,20.613,1009.269,2.5646,0.0000,8.9861,-1.6510
spect_000392.spc,315.776,94.690,2147.100,43.4875,0.0000,18.2511,-0.4064
spect_000393.spc,299.244,255.675,253.788,42.7126,4.7618,1.1135,0.3287
spect_000394.spc,47.693,26.686,1133.327,5.5275,0.0000,10.0303,-0.7576
spect_000395.spc,60.329,47.261,2315.849,5.8571,0.0000,20.6199,-1.9598
spect_000396.spc,324.176,108.150,2918.961,43.7251,0.0000,25.1626,-0.9334
spect_000397.spc,137.298,67.727,2668.419,16.6768,0.0000,23.5331,-2.9096
spect_000398.spc,426.264,109.621,1709.368,60.2329,0.0000,13.9473,-3.6985
spect_000399.spc,70.147,45.837,2097.286,7.5763,0.0000,18.6221,-3.4943
spect_000400.spc,351.258,70.764,130.247,51.2785,0.0000,0.0000,-0.1513
spect_000401.spc,14.281,24.246,1401.315,0.2892,0.0000,12.5511,0.1873
spect_000402.spc,149.195,67.967,2531.916,18.5947,0.0000,22.2662,-2.0734
spect_000403.spc,57.300,471.115,66.330,6.4333,11.3099,0.0000,0.5184
spect_000404.spc,248.567,65.472,1097.972,34.9935,0.0000,9.0428,-1.0036
spect_000405.spc,279.655,79.809,1636.955,38.8533,0.0000,13.7850,-0.8205
spect_000406.spc,212.544,228.892,403.662,29.8709,4.4636,2.7607,0.2681
spect_000407.spc,110.491,54.319,2135.344,13.4362,0.0000,18.8298,-0.6606
spect_000408.spc,157.588,43.662,836.800,22.0044,0.0000,6.9980,0.0252
spect_000409.spc,400.645,102.957,1601.693,56.6192,0.0000,13.0646,-0.9492
spect_000410.spc,429.581,139.392,3611.844,58.2717,0.0000,31.0407,-5.6981
spect_000411.spc,184.435,40.398,280.186,26.6524,0.0000,1.9042,0.0844
spect_000412.spc,101.175,33.835,916.361,13.6397,0.0000,7.9014,0.0194
spect_000413.spc,382.455,116.590,2724.989,52.5102,0.0000,23.2244,-5.3778
spect_000414.spc,255.341,119.299,101.338,36.9909,1.6700,0.0000,0.4163
spect_000415.spc,358.647,92.331,1444.631,50.6702,0.0000,11.7925,-2.1035
spect_000416.spc,420.313,110.930,1871.006,59.1534,0.0000,15.4204,-0.3164
