file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000383.spc,1.852,8.846,76.415,0.1431,0.1803,0.6744,1.0000
spect_000384.spc,1.494,22.682,46.294,0.0708,0.5344,0.3921,1.0000
spect_000385.spc,3.525,20.130,14.800,0.4188,0.4735,0.1043,1.0000
spect_000386.spc,2.289,3.096,83.582,0.2221,0.0337,0.7426,1.0000
spect_000387.spc,1.960,7.723,77.503,0.1622,0.1517,0.6848,1.0000
spect_000388.spc,1.283,21.768,52.887,0.0353,0.5104,0.4529,1.0000
spect_000389.spc,1.655,15.178,63.664,0.1039,0.3421,0.5546,1.0000
spect_000390.spc,2.640,24.625,19.659,0.2641,0.5868,0.1469,1.0000
spect_000391.spc,1.569,11.303,74.797,0.0933,0.2428,0.6585,1.0000
spect_000392.spc,2.302,15.961,49.197,0.2137,0.3637,0.4216,1.0000
spect_000393.spc,2.709,22.010,25.282,0.2781,0.5199,0.1996,1.0000
spect_000394.spc,1.717,14.238,64.355,0.1159,0.3184,0.5615,0.9999
spect_000395.spc,1.570,10.566,77.092,0.0936,0.2238,0.6799,1.0000
spect_000396.spc,2.199,14.414,55.314,0.1973,0.3238,0.4784,1.0000
spect_000397.spc,1.868,9.594,74.308,0.1450,0.1994,0.6547,1.0000
spect_000398.spc,3.365,2.958,63.575,0.4057,0.0327,0.5592,1.0000
spect_000399.spc,1.676,7.155,84.147,0.1146,0.1365,0.7461,1.0000
spect_000400.spc,4.541,12.468,15.907,0.5983,0.2794,0.1179,1.0000
spect_000401.spc,1.424,19.010,57.293,0.0619,0.4400,0.4946,1.0000
spect_000402.spc,1.904,11.510,68.294,0.1499,0.2487,0.5987,1.0000
spect_000403.spc,1.840,32.296,13.985,0.1220,0.7818,0.0916,1.0000
spect_000404.spc,2.699,13.268,48.822,0.2836,0.2956,0.4193,1.0000
spect_000405.spc,2.463,14.421,50.272,0.2423,0.3246,0.4321,1.0000
spect_000406.spc,2.479,22.396,28.439,0.2388,0.5293,0.2284,1.0000
spect_000407.spc,1.796,14.904,61.263,0.1286,0.3356,0.5328,1.0000
spect_000408.spc,2.320,18.577,41.886,0.2145,0.4309,0.3534,1.0000
spect_000409.spc,2.770,13.141,47.772,0.2959,0.2925,0.4098,1.0000
spect_000410.spc,2.637,2.978,77.271,0.2816,0.0315,0.6848,1.0000
spect_000411.spc,3.151,14.952,35.300,0.3598,0.3400,0.2947,1.0000
spect_000412.spc,2.046,18.769,46.228,0.1681,0.4353,0.3932,1.0000
spect_000413.spc,2.802,2.895,74.498,0.3096,0.0297,0.6594,1.0000
spect_000414.spc,3.054,20.164,23.512,0.3387,0.4734,0.1842,1.0000
spect_000415.spc,2.971,9.651,53.328,0.3328,0.2034,0.4623,1.0000
spect_000416.spc,2.563,15.704,45.063,0.2581,0.3577,0.3838,1.0000
spect_000417.spc,2.579,23.754,23.244,0.2543,0.5642,0.1802,1.0000
spect_000418.spc,2.126,13.150,59.972,0.1860,0.2912,0.5217,1.0000
spect_000419.spc,2.348,5.869,75.158,0.2299,0.1050,0.6641,1.0000
spect_000420.spc,2.258,5.846,76.850,0.2147,0.1042,0.6797,1.0000
spect_000421.spc,4.038,6.942,40.397,0.5169,0.1364,0.3448,1.0000
spect_000422.spc,1.514,6.531,88.949,0.0874,0.1201,0.7904,1.0000
spect_000423.spc,2.422,4.524,77.077,0.2439,0.0707,0.6824,1.0000
spect_000424.spc,1.820,14.922,60.751,0.1327,0.3361,0.5281,1.0000
spect_000425.spc,1.188,22.019,54.041,0.0189,0.5166,0.4634,1.0000
spect_000426.spc,2.246,13.459,56.711,0.2064,0.2995,0.4916,1.0000
spect_000427.spc,3.093,17.725,29.604,0.3469,0.4108,0.2411,1.0000
spect_000428.spc,2.178,17.880,46.406,0.1909,0.4127,0.3952,1.0000
spect_000429.spc,1.862,12.870,65.631,0.1413,0.2835,0.5737,1.0000
spect_000430.spc,3.429,5.291,56.254,0.4145,0.0926,0.4910,1.0000
